###,,,
###,,,
###,,,
# ME counts rate ,,,
# for MAXI J1820+070 ,,,
,,,
# The uncertainties in count rates are quoted at 1-sigma confidence level,,,
,,,
#,,,
# This file is used to plot the ME light curve in Figure 1.,,,
#,,,
,,,
,,,
####,,,
####,,,
date(MJD),err(MJD),counts rate(photons/s),err(photons/s)
58385.28237,0.073258102,26.41029014,0.110816927
58387.27019,0.074299769,36.77873316,0.123164493
58389.01318,0.066834491,43.25737384,0.159286119
58389.15659,0.040792824,43.8820654,0.168315481
58389.29039,0.041487269,43.39737816,0.157517799
58389.77476,0.035063657,44.32573245,0.252712274
58389.96236,0.045653935,43.40094448,0.189437813
58390.08273,0.040445602,43.78169882,0.164814689
58390.80128,0.06822338,42.40725979,0.181050757
58390.95174,0.050341435,42.44600457,0.157464112
58391.07613,0.040445602,41.71345816,0.160298199
58391.81939,0.044612269,40.86477337,0.162816128
58391.94567,0.050688657,40.49694619,0.150118817
58392.0697,0.040619213,40.43025354,0.153941977
58393.12145,0.06822338,36.70812018,0.135953985
58393.33014,0.108153935,37.37286578,0.103792932
58394.84455,0.068744213,32.36648001,0.120877813
58394.99404,0.051730324,31.7695175,0.124439838
58395.11711,0.040792824,31.74913232,0.136360504
58395.63891,0.06978588,30.09300521,0.12507408
58395.79389,0.047563657,30.27664153,0.133729868
58395.92186,0.052077546,29.50676792,0.119443029
58396.0434,0.040792824,29.75919578,0.13125066
58397.09563,0.068049769,24.79964203,0.111738103
58397.24756,0.051903935,24.40962717,0.115351235
58397.36992,0.041140046,23.44174441,0.114408263
58398.35647,0.070480324,17.43637186,0.083210495
58398.50897,0.050688657,17.31102756,0.095101199
58398.63156,0.035584491,16.54918645,0.127897109
58399.23649,0.051903935,15.16244766,0.09541941
58399.36944,0.052251157,14.59714973,0.082876549
58399.49032,0.03853588,13.78796834,0.105237129
58400.54773,0.067355324,11.61081875,0.086456419
58400.6973,0.050341435,12.04947852,0.0881223
58400.81156,0.035758102,11.40947047,0.113408666
58401.7001,0.093049769,9.465566096,0.079253779
58402.94795,0.08853588,7.318343776,0.08530992
